Date,Open,High,Low,Close,Volume
2021-03-08,5.29961,5.29961,4.96336,5.11393,836498.79095097
2021-03-09,5.11393,5.22005,4.9193,5.11393,379872.0934624
2021-03-10,5.16704,5.2288,5.06968,5.17579,518988.51399037
2021-03-11,5.30856,5.30856,5.14924,5.2113,370869.71513145
2021-03-12,5.22005,5.29095,5.14049,5.17579,308753.20070632
2021-03-15,5.13164,5.29095,5.09623,5.2288,428315.0959439
2021-03-16,5.30856,5.39707,5.11393,5.13164,607983.27587654
2021-03-17,5.08748,5.38813,5.08748,5.37051,719397.19238922
2021-03-18,5.30856,5.46346,5.18474,5.22005,519433.38385825
2021-03-19,5.26431,5.37051,5.08748,5.17579,260450.519328
2021-03-22,5.18474,5.19802,5.01657,5.06083,622469.61080304
2021-03-23,4.99897,5.06083,4.8662,4.87505,621424.998146
2021-03-24,4.96336,5.01657,4.80453,4.83089,536422.63149932
2021-03-25,4.82184,4.93691,4.71582,4.93691,341668.37385102
2021-03-26,4.95461,5.14924,4.92806,5.14924,470776.26176743
2021-03-29,5.13164,5.1936,4.98116,5.00772,280279.45033129
2021-03-30,4.98992,5.04312,4.8839,4.94586,231865.551486
2021-03-31,4.94586,5.13164,4.9193,5.13164,178048.77046034
2021-04-01,5.12279,5.20235,4.99897,5.20235,373744.73862334
2021-04-05,5.2288,5.25546,5.14049,5.20235,437503.52966352
2021-04-06,5.22005,5.29095,5.11393,5.27316,377418.03328004
2021-04-07,5.23784,5.34406,5.17579,5.20235,299812.14789454
2021-04-08,5.23784,5.23784,5.08748,5.23784,156348.89141458
2021-04-09,5.2113,5.26431,5.08748,5.10498,257967.35550942
2021-04-12,5.14049,5.1757,5.02552,5.06968,259517.12413793
2021-04-13,5.05197,5.08738,4.95461,4.99897,399166.76485801
2021-04-14,4.98992,5.22005,4.98992,5.13164,416872.16983312
2021-04-15,5.2113,5.2113,5.08748,5.15819,223469.15243769
2021-04-16,5.15222,5.1936,4.99897,5.08748,304813.81566137
2021-04-19,5.20235,5.20235,5.06083,5.15819,367059.21761831
2021-04-20,5.1936,5.1936,5.03427,5.09623,377822.36594032
2021-04-21,5.06968,5.54744,5.06083,5.52089,1460682.398044
2021-04-22,5.57409,5.70657,5.47673,5.60055,455093.55950934
2021-04-23,5.52974,5.79528,5.45008,5.78633,1007302.8348247
2021-04-26,5.37936,5.5916,5.17579,5.30856,2306486.0372595
2021-04-27,5.30856,5.53869,5.30856,5.33502,807361.89343645
2021-04-28,5.30856,5.48548,5.17579,5.22005,623986.11813301
2021-04-29,5.29095,5.29095,4.97251,5.08748,1201056.1352703
2021-04-30,5.04312,5.07305,4.82184,4.84849,774358.36996752
2021-05-03,5.14049,5.14049,4.85744,5.06968,553054.32018118
2021-05-04,5.06737,5.14924,4.99897,5.06083,401014.84575772
2021-05-05,5.04312,5.34406,4.95461,5.23784,666023.20240027
2021-05-06,5.21082,5.26931,5.16578,5.26479,307995.46674912
2021-05-07,5.28278,5.30076,5.10287,5.25574,347975.54758526
2021-05-10,5.22871,5.44479,5.21082,5.44479,743755.89648642
2021-05-11,5.30076,5.56169,5.26479,5.55284,741904.69733997
2021-05-12,5.57977,5.75073,5.39082,5.40871,1199836.9007959
2021-05-13,5.45383,5.61575,5.28037,5.39082,361676.08433393
2021-05-14,5.39977,5.57072,5.3278,5.5078,482410.44034478
2021-05-17,5.53475,5.84983,5.5079,5.84078,1687648.14449
2021-05-18,5.89351,5.89351,5.55284,5.55284,684082.00867229
2021-05-19,5.5258,5.57977,5.36388,5.5258,453752.71341224
2021-05-20,5.57977,5.57977,5.41786,5.48972,316536.34456293
2021-05-21,5.57072,5.64278,5.47173,5.48078,379613.27898319
2021-05-24,5.53475,5.60681,5.39977,5.48078,273377.73088579
2021-05-25,5.47173,5.47173,5.26479,5.26479,290467.80183805
2021-05-26,5.49876,5.49876,5.29173,5.36388,244390.50921467
2021-05-27,5.37282,5.54379,5.35608,5.5078,394882.29384078
2021-05-28,5.40871,5.50771,5.3278,5.36388,305851.15240936
2021-06-01,5.38167,5.66078,5.36388,5.59776,569128.88211262
2021-06-02,5.66078,5.66078,5.53475,5.61575,382979.94604403
2021-06-03,5.59776,5.84983,5.54379,5.77776,1016017.2950402
2021-06-04,5.82385,5.84983,5.64278,5.75977,444953.02111923
2021-06-07,5.75977,5.75977,5.65163,5.66078,393388.65365356
2021-06-08,5.62479,5.93083,5.57977,5.89485,989913.41218563
2021-06-09,5.93978,6.56965,5.93978,6.4798,1737940.2672868
2021-06-10,6.55167,6.65961,6.30864,6.30864,599830.10007375
2021-06-11,6.38974,6.4798,6.33568,6.41678,339465.85223882
2021-06-14,6.41678,6.63266,6.25476,6.28171,452342.22647136
2021-06-15,6.29979,6.37175,6.08381,6.37175,525023.36084288
2021-06-16,6.37175,6.3808,6.21869,6.32683,340976.12307531
2021-06-17,6.32683,6.3402,6.02079,6.23677,671246.26568546
2021-06-18,6.08381,6.32673,5.97576,5.97576,819892.04824301
2021-06-21,6.06572,6.27266,5.99375,6.20079,344433.21929153
2021-06-22,6.20974,6.31778,6.08381,6.27266,1206452.7809572
2021-06-23,6.27266,6.45266,6.25476,6.43477,391729.74638925
2021-06-24,6.46171,6.47075,6.34482,6.45266,428552.08269594
2021-06-25,6.4798,6.51568,6.3808,6.38974,496788.67605106
2021-06-28,6.38974,6.40774,6.12863,6.19165,413690.51874536
2021-06-29,6.23677,6.29084,6.12863,6.22773,478855.63906412
2021-06-30,6.20079,6.51568,6.20079,6.48865,291889.72235031
2021-07-01,6.50683,6.71367,6.46171,6.53377,317057.09176809
2021-07-02,6.48865,6.59679,6.34482,6.54272,172483.73944961
2021-07-06,6.56965,6.59679,6.19165,6.27266,354535.29930522
2021-07-07,6.30864,6.70473,6.02079,6.62373,1270820.6695268
2021-07-08,6.50683,6.70434,6.34482,6.49768,590656.21817224
2021-07-09,6.64171,7.02867,6.51568,7.01962,840185.59801018
2021-07-12,7.02867,7.12776,6.82172,6.84875,330044.58942947
2021-07-13,6.87569,6.93871,6.64171,6.79478,273936.93646737
2021-07-14,6.80373,6.89377,6.59679,6.65076,315409.61807515
2021-07-15,6.63266,6.69569,6.38974,6.5608,296817.59161103
2021-07-16,6.56965,6.61478,6.23677,6.27266,459721.03766768
2021-07-19,6.07476,6.20079,5.95777,6.14673,971969.9810429
2021-07-20,6.20974,6.32683,6.14682,6.18261,240336.78845602
2021-07-21,6.23677,6.51558,6.22359,6.41678,415523.0084114
2021-07-22,6.35377,6.64171,6.35377,6.54272,359924.66908308
2021-07-23,6.5608,6.79478,6.44371,6.5786,375088.70296718
2021-07-26,6.86674,7.13661,6.75861,7.00163,722276.37354344
2021-07-27,6.8982,7.12776,6.79478,7.02867,686305.31859607
2021-07-28,6.96565,7.13218,6.86674,7.07379,905638.63644436
2021-07-29,7.02867,7.55078,6.93024,7.42475,1512479.5945994
2021-07-30,7.37972,7.45159,7.08264,7.14565,1025171.4280457
2021-08-02,7.10957,7.3802,6.98383,7.00163,572893.64534027
2021-08-03,7.00163,7.06474,6.79478,6.92966,497247.05832146
2021-08-04,6.92966,7.08523,6.83076,6.91167,478281.88166443
2021-08-05,6.92996,7.20347,6.88532,7.04858,295490.25791646
2021-08-06,7.1214,7.21261,7.01201,7.15797,274074.13932381
2021-08-09,7.18529,7.19077,6.89349,6.92081,320950.74252756
2021-08-10,6.91167,7.322,6.88435,7.23994,530790.03847596
2021-08-11,7.29468,7.58647,7.20357,7.5045,1125252.596499
2021-08-12,7.43138,7.54097,7.24917,7.54097,257593.16590093
2021-08-13,7.56819,7.59561,7.34038,7.43138,384776.05616478
2021-08-16,7.40406,7.57734,7.24917,7.5045,407206.64436268
2021-08-17,7.4588,7.56819,7.20347,7.34038,454093.64172221
2021-08-18,7.33114,7.3676,7.11236,7.1214,321477.72622618
2021-08-19,7.0758,7.08495,6.76582,6.92081,526144.89025277
2021-08-20,6.94823,7.20347,6.85702,7.13959,319653.55188479
2021-08-23,7.22175,7.42235,7.13959,7.31296,229004.04039662
2021-08-24,7.322,7.44062,7.322,7.37674,111671.6915763
2021-08-25,7.44062,7.55915,7.34941,7.55001,296042.18758899
2021-08-26,7.53174,7.54905,7.322,7.46785,192645.28343823
2021-08-27,7.53174,7.77793,7.47709,7.7506,589933.82434474
2021-08-30,7.7506,7.78697,7.6366,7.65036,219832.23732628
2021-08-31,7.61379,7.89646,7.59119,7.89646,495231.6315135
2021-09-01,7.89646,7.97853,7.7051,7.89646,276261.06970233
2021-09-02,7.97853,8.22472,7.97853,8.19749,445154.66774158
2021-09-03,8.21558,8.38875,8.16102,8.34334,394906.20039911
2021-09-07,8.34334,8.55298,8.31785,8.38875,235469.20529889
2021-09-08,8.20654,8.52566,8.16102,8.41617,513143.88018885
2021-09-09,8.38875,8.61676,8.37066,8.58944,313432.64964362
2021-09-10,8.61676,8.77185,8.50747,8.50747,435512.00941388
2021-09-13,8.57126,8.65246,8.23386,8.59868,356642.19468414
2021-09-14,8.70807,8.79004,8.59868,8.7809,462746.77641856
2021-09-15,8.74453,9.23789,8.71711,9.05412,644438.6984838
2021-09-16,9.09097,9.09097,8.76781,9.06355,372122.2109043
2021-09-17,9.07298,9.13629,8.59868,8.79004,445916.55936109
2021-09-20,8.3342,8.57126,8.21558,8.46187,524813.39889589
2021-09-21,8.57126,8.57126,7.86914,8.30688,662467.36170401
2021-09-22,8.4254,8.72625,8.4254,8.52566,285572.15446029
2021-09-23,8.54394,8.75367,8.44359,8.68065,330639.13514074
2021-09-24,8.66246,9.11839,8.57126,8.89971,811454.07257154
2021-09-27,9.00872,9.41875,9.00872,9.3187,1179708.6181058
2021-09-28,9.38316,9.48322,9.20902,9.30042,695659.01939277
2021-09-29,9.37353,9.45531,8.99083,9.42837,510577.56312395
2021-09-30,9.48322,10.0672,9.3466,9.91134,1916730.1410551
2021-10-01,10.0307,10.6136,9.76607,10.4867,1491552.001329
2021-10-04,10.7137,11.1342,10.5963,10.8686,2299701.7717744
2021-10-05,11.0505,11.189,10.505,10.9235,1425227.9326395
