Date,Open,High,Low,Close,Volume
2021-03-08,63.6377,64.2183,63.2931,63.722,3507965.9230317
2021-03-09,63.0833,64.1677,61.7544,63.5871,5959066.8336903
2021-03-10,62.0241,62.4361,60.9986,61.3507,4024253.329325
2021-03-11,62.217,62.3762,61.8349,62.3013,2469019.5779092
2021-03-12,61.612,62.7639,61.3002,62.704,2786876.5108985
2021-03-15,61.3929,61.8134,60.7785,61.4182,2964364.3216206
2021-03-16,61.1747,61.2074,60.2962,60.4086,2724192.6754727
2021-03-17,59.6107,60.4086,59.2239,60.1576,2261639.915032
2021-03-18,60.1398,60.2157,58.7023,58.7622,2251023.8975238
2021-03-19,58.4166,58.5262,57.6937,57.8697,2422829.9712553
2021-03-22,58.2312,58.3239,57.5682,58.1563,2318218.0988673
2021-03-23,57.6262,58.0046,56.6176,56.7768,3056591.908044
2021-03-24,57.0465,57.7189,57.0203,57.1561,2765776.8824572
2021-03-25,56.6757,56.9622,55.7682,56.8864,3187725.6716881
2021-03-26,58.1394,59.1902,58.0149,59.1143,2624066.6097184
2021-03-29,58.8203,58.9214,58.1563,58.7023,2140538.0850521
2021-03-30,58.3998,58.9046,57.9287,58.6011,4494015.8413464
2021-03-31,58.5009,58.8119,58.3239,58.3408,2308181.8940233
2021-04-01,58.6601,58.6601,57.6009,58.4672,2468498.493968
2021-04-05,59.1396,60.182,59.0937,59.812,1626116.1165567
2021-04-06,59.7624,59.783,58.6105,58.7444,1795315.7027869
2021-04-07,59.5011,60.182,59.3241,59.8205,2530255.4833671
2021-04-08,59.8373,59.9048,59.3756,59.8879,1376144.2482512
2021-04-09,59.3925,59.6613,58.9757,59.4674,2074989.3557443
2021-04-12,59.1228,59.1481,58.559,58.8709,1706926.8392506
2021-04-13,59.2661,59.2913,58.6517,59.0806,1619544.906363
2021-04-14,59.8205,61.3929,59.7624,61.1325,2933108.8952997
2021-04-15,61.9726,62.4605,61.6542,62.2751,2848274.7211905
2021-04-16,62.6375,62.645,61.6542,62.0063,1793268.7398455
2021-04-19,62.4783,63.0243,62.0437,62.3172,1717102.9252346
2021-04-20,62.2086,62.2676,60.6025,60.9218,1894776.5322801
2021-04-21,60.4507,62.2591,60.241,62.1664,3509692.5474846
2021-04-22,61.4687,61.4856,60.7532,61.023,3174872.6237354
2021-04-23,61.9145,63.0149,61.5446,62.7883,2026420.7019159
2021-04-26,63.2846,63.8315,63.0992,63.6293,2560658.8093087
2021-04-27,62.8136,63.0318,62.4858,62.704,2431069.077179
2021-04-28,62.6628,63.9907,62.5785,63.6714,1622185.563303
2021-04-29,63.8231,63.8905,62.2751,62.8651,2920785.4736478
2021-04-30,62.2423,62.5532,61.0941,61.1747,2619286.0916753
2021-05-03,61.7384,62.4689,61.6364,62.3097,1359521.8840839
2021-05-04,62.5532,62.7134,61.7384,62.6965,1485735.248545
2021-05-05,64.0076,65.0752,64.0076,64.9076,1476091.9922468
2021-05-06,64.8739,65.9584,64.5957,65.8909,2145879.19545
2021-05-07,66.1438,66.8771,65.5884,66.7403,2762640.768655
2021-05-10,68.5394,69.002,67.8922,67.9587,3222664.9906266
2021-05-11,66.8078,68.0777,66.2777,67.8501,2811434.7272203
2021-05-12,67.1178,68.1273,66.1934,66.4622,2909174.2712354
2021-05-13,65.0921,65.8909,64.4365,65.3028,2684104.4492293
2021-05-14,64.5292,65.3028,64.3691,65.1342,2615307.4876484
2021-05-17,64.8814,66.2562,64.7222,66.1691,2567457.4598292
2021-05-18,66.4968,66.5633,64.8861,65.1595,2215377.6983207
2021-05-19,62.999,63.2509,61.9229,62.3013,3366744.7003853
2021-05-20,62.217,62.4605,61.7797,62.3013,2325834.6803284
2021-05-21,62.6965,62.704,61.4931,61.6785,1762731.9395337
2021-05-24,61.317,61.6289,61.0145,61.4182,1611265.2242307
2021-05-25,60.9565,61.0398,60.3084,60.4601,2434201.9875963
2021-05-26,60.4601,61.0913,60.3168,60.9218,2642637.6996906
2021-05-27,62.6375,62.9906,62.158,62.4184,2001334.9948831
2021-05-28,62.1496,62.5364,61.9726,62.3097,1328376.440644
2021-06-01,64.0076,64.3869,63.7557,64.1509,2348124.9001518
2021-06-02,63.8812,64.1677,63.5534,64.1087,1593124.4556281
2021-06-03,63.2088,63.2088,62.5532,63.0149,1387140.4007657
2021-06-04,63.898,64.1593,63.3352,63.9992,1189589.79051
2021-06-07,63.6798,63.7547,62.6544,62.9147,1259885.936217
2021-06-08,63.5038,64.2932,62.8388,63.9074,1988286.5404523
2021-06-09,62.94,63.0243,62.3425,62.5701,2130279.778856
2021-06-10,62.7386,63.3942,62.6712,63.2678,1831907.968326
2021-06-11,63.9327,64.1087,63.5113,63.7894,1196823.0335799
2021-06-14,63.5871,63.8737,63.3858,63.4691,1582661.1327994
2021-06-15,62.8304,63.1254,62.3687,62.9906,2691863.0474203
2021-06-16,62.3519,62.8651,61.7122,62.0662,2323531.4465963
2021-06-17,60.7879,61.2074,59.0553,59.2745,3991460.2782593
2021-06-18,58.854,59.0057,57.6262,57.6262,2900542.2167658
2021-06-21,58.5169,59.3625,58.3914,59.2146,1794834.1272592
2021-06-22,59.3166,60.0303,58.7866,59.93,2049457.3104175
2021-06-23,60.6025,60.9565,60.1323,60.2166,1526497.2534092
2021-06-24,60.8628,61.2664,60.5097,61.2,1173132.9345618
2021-06-25,61.8471,62.0241,61.5605,61.5699,1194784.6129982
2021-06-28,61.863,62.0906,60.8169,61.2168,1713215.0837794
2021-06-29,61.5352,61.7544,61.0651,61.2252,1100109.6405229
2021-06-30,61.1072,61.4107,60.5519,61.2327,1400781.4814002
2021-07-01,61.5605,61.7881,60.5603,60.8797,1185015.3568945
2021-07-02,60.905,61.3592,60.535,61.3423,1050140.0397049
2021-07-06,61.9473,62.0241,60.3758,60.771,1458024.9014966
2021-07-07,62.0063,62.5195,61.5277,62.2423,1802238.217523
2021-07-08,61.0398,62.0316,60.7748,61.7965,1784204.2284165
2021-07-09,62.9906,64.6472,62.6628,64.3026,3103869.5977638
2021-07-12,63.6883,64.5208,63.4438,64.327,1185331.4242032
2021-07-13,63.7051,64.3101,63.6124,64.0497,1263870.9470137
2021-07-14,64.739,64.9413,63.5281,63.9486,2391506.2060567
2021-07-15,63.4111,64.4955,63.3015,64.193,1560509.726321
2021-07-16,63.8231,63.8231,62.3303,62.5364,2057383.5524175
2021-07-19,60.9471,61.3423,60.5519,60.8207,2347677.4940629
2021-07-20,61.0988,62.423,60.7457,62.0737,2089168.6050394
2021-07-21,63.0833,63.781,62.9737,63.6798,2048248.566521
2021-07-22,63.898,63.9823,62.9821,63.5871,1195236.290267
2021-07-23,64.1677,64.3944,63.3858,64.2605,1263267.6428604
2021-07-26,65.1679,66.5558,65.1595,66.4453,2531133.2108255
2021-07-27,65.4124,66.185,64.7812,65.6053,2481244.7624246
2021-07-28,65.5631,66.7066,65.3197,66.5137,1875272.1895115
2021-07-29,67.5223,67.6815,67.2114,67.4633,2794069.1777598
2021-07-30,66.3367,66.8321,65.6474,66.0501,1466971.9554798
2021-08-02,67.0175,67.1599,65.8741,65.9246,1613757.4576711
2021-08-03,66.2534,67.2742,65.7898,67.0353,2024893.7551209
2021-08-04,67.0934,67.5092,66.4378,66.4378,1795706.5157429
2021-08-05,65.0752,65.2691,64.4955,64.7568,2364605.2475892
2021-08-06,64.9657,65.1464,64.2352,64.504,1203429.4810073
2021-08-09,64.4028,64.5798,64.0994,64.3522,1165509.946331
2021-08-10,63.9074,65.2429,63.8315,65.1848,2013083.9428456
2021-08-11,65.1764,65.58,64.7222,65.4714,1158109.0594521
2021-08-12,64.6051,64.7212,64.1837,64.563,1727332.4009667
2021-08-13,64.9235,65.698,64.8233,65.4292,1640515.3316139
2021-08-16,64.1509,64.8814,63.1582,63.7473,3945678.5692807
2021-08-17,59.577,60.1745,57.7527,58.7107,13508994.39769
2021-08-18,56.037,56.096,54.7933,55.0452,10311248.538082
2021-08-19,53.2799,53.7753,52.5822,52.8341,9334877.1132995
2021-08-20,53.22,53.4981,52.7835,53.4728,5692046.5510278
2021-08-23,53.6414,54.2211,53.4054,54.1705,3718876.7838469
2021-08-24,54.1031,54.9609,54.1031,54.8429,3656416.1175681
2021-08-25,55.0705,55.4957,54.8064,55.3477,4686068.3753448
2021-08-26,54.768,55.0031,54.1705,54.5077,5295820.9424219
2021-08-27,54.9441,56.0201,54.9441,55.978,3804004.6015705
2021-08-30,56.8948,57.2779,56.3395,56.8948,2634120.9670768
2021-08-31,56.0538,56.273,55.1211,55.6081,4517437.9238291
2021-09-01,54.6584,55.1117,54.4309,54.8851,3972226.087616
2021-09-02,54.8139,55.5303,54.8139,55.4226,5404607.8931097
2021-09-03,55.9602,56.6635,55.638,56.435,3759019.4676333
2021-09-07,55.7092,55.9508,55.2166,55.4854,4615042.925679
2021-09-08,55.1276,55.387,54.1434,54.635,4817331.3421793
2021-09-09,54.2585,54.5048,53.9177,54.1237,3570891.0801188
