Date,Open,High,Low,Close,Volume
2021-03-08,4.1,4.1565,3.61,3.72,3602898
2021-03-09,3.85,3.92,3.7113,3.9,2178350
2021-03-10,3.94,4.13,3.79,3.86,2195063
2021-03-11,3.92,4.0593,3.62,3.74,4402239
2021-03-12,3.74,3.89,3.7,3.77,2068393
2021-03-15,3.82,4.34,3.78,4.05,5325237
2021-03-16,4.01,4.0855,3.83,3.9,2311270
2021-03-17,3.83,3.98,3.65,3.82,2665215
2021-03-18,3.8,3.9,3.45,3.52,3382597
2021-03-19,3.49,3.63,3.305,3.56,3007132
2021-03-22,3.6,3.6367,3.2,3.21,4066575
2021-03-23,3.16,3.175,2.87,2.93,6406144
2021-03-24,3.01,3.13,2.75,2.75,3577042
2021-03-25,2.69,2.96,2.61,2.93,3815666
2021-03-26,3,3.03,2.795,2.87,2580033
2021-03-29,2.8,3.06,2.78,2.96,2008094
2021-03-30,3.02,3.02,2.61,2.73,5756381
2021-03-31,2.73,3.09,2.7,3.06,3639025
2021-04-01,3.05,3.2,2.95,3.01,2720396
2021-04-05,3.06,3.55,3.06,3.35,5467975
2021-04-06,3.39,3.438,3.135,3.32,2602851
2021-04-07,3.31,3.52,3.3,3.43,2434562
2021-04-08,3.46,3.54,3.29,3.38,1621036
2021-04-09,3.41,3.54,3.29,3.32,1570656
2021-04-12,3.35,3.47,3.22,3.29,2264868
2021-04-13,3.35,3.6987,3.33,3.5,5540875
2021-04-14,3.47,3.94,3.45,3.74,5624635
2021-04-15,3.79,3.98,3.64,3.93,2678603
2021-04-16,3.97,3.98,3.71,3.87,2035520
2021-04-19,3.87,3.94,3.7,3.86,2058237
2021-04-20,3.8,3.81,3.51,3.65,1812763
2021-04-21,3.64,3.88,3.51,3.84,1521766
2021-04-22,3.91,4.08,3.858,4.05,2606206
2021-04-23,4.02,4.29,3.93,4.17,3339214
2021-04-26,4.2,4.565,4.125,4.45,2904703
2021-04-27,4.48,4.69,4.38,4.53,2597177
2021-04-28,4.51,4.53,4.12,4.29,2912675
2021-04-29,3.84,3.9,3.44,3.89,10250238
2021-04-30,3.76,3.945,3.56,3.7,4520832
2021-05-03,3.86,4.37,3.75,4.2,8270529
2021-05-04,4.04,4.38,3.94,4.15,4181314
2021-05-05,4.2,4.86,4.2,4.74,4331377
2021-05-06,4.76,4.78,4.35,4.61,5424119
2021-05-07,4.63,5.12,4.52,5.12,3942359
2021-05-10,5.18,6.27,5.178,5.91,17619150
2021-05-11,5.7,6.59,5.58,6.52,8385684
2021-05-12,6.75,7.17,6.43,6.68,8591307
2021-05-13,6.65,7.1,6.07,6.34,6595143
2021-05-14,6.53,6.9664,6.25,6.5,4758794
2021-05-17,6.55,8.7,6.55,8.6,44749683
2021-05-18,8.3,8.51,6.61,6.67,24176949
2021-05-19,6.31,6.65,5.81,6.42,10817729
2021-05-20,6.46,6.51,5.98,6.39,3942075
2021-05-21,6.44,6.6,5.8,5.84,6434330
2021-05-24,5.83,5.95,5.425,5.82,7318859
2021-05-25,5.68,5.7866,5.37,5.37,5573855
2021-05-26,5.49,5.77,5.44,5.67,3910343
2021-05-27,5.75,6.755,5.73,6.48,9866643
2021-05-28,6.48,6.67,6.09,6.63,5956691
2021-06-01,7.1,7.45,6.91,7.41,6164959
2021-06-02,7.55,7.68,7.15,7.51,4922017
2021-06-03,7.41,8.24,7.3,7.82,6577695
2021-06-04,7.92,8.3798,7.58,8.3,4602606
2021-06-07,8.03,8.28,7.4,7.63,5038827
2021-06-08,7.7,8.62,7.64,8.49,7098499
2021-06-09,8.43,8.97,8.155,8.61,5996297
2021-06-10,8.75,9.39,8.74,8.95,5779632
2021-06-11,9.15,9.5294,8.94,9.21,4768854
2021-06-14,9.51,9.7558,8.57,8.74,7908620
