Date,Open,High,Low,Close,Volume
2021-03-08,1.65,1.79,1.65,1.73,191865
2021-03-09,1.72,1.9461,1.68,1.93,449496
2021-03-10,2.03,2.15,1.95,2.01,508030
2021-03-11,2.03,2.06,1.9759,2.03,277851
2021-03-12,2.07,2.07,1.93,2,243910
2021-03-15,2,2.06,1.9039,1.92,247440
2021-03-16,1.91,1.99,1.87,1.93,168661
2021-03-17,1.95,2.03,1.93,2.01,189136
2021-03-18,1.99,2.04,1.88,1.91,126988
2021-03-19,1.9,2,1.88,2,243487
2021-03-22,2,2,1.88,1.9,161115
2021-03-23,1.91,1.92,1.84,1.87,213664
2021-03-24,1.91,1.91,1.81,1.84,130558
2021-03-25,1.83,1.83,1.66,1.8,269141
2021-03-26,1.81,1.9,1.79,1.86,119631
2021-03-29,1.85,1.88,1.72,1.79,130788
2021-03-30,1.823,1.823,1.75,1.78,96263
2021-03-31,1.79,1.88,1.72,1.87,149515
2021-04-01,1.8836,2.11,1.8836,1.97,461572
2021-04-05,2.08,2.3399,2.05,2.18,992605
2021-04-06,2.29,2.39,2.17,2.25,455282
2021-04-07,2.27,2.29,2.18,2.24,280111
2021-04-08,2.26,2.26,2.08,2.21,263611
2021-04-09,2.17,2.24,1.95,2.06,329488
2021-04-12,2.06,2.1,1.98,2,222919
2021-04-13,1.83,2.01,1.8,1.99,418386
2021-04-14,2,2.11,1.97,2.09,230366
2021-04-15,2.1,2.1,1.96,2.02,121587
2021-04-16,2.01,2.1,1.93,2.07,253039
2021-04-19,2.03,2.08,2,2.04,320105
2021-04-20,2.07,2.08,1.9,1.96,228317
2021-04-21,1.93,1.95,1.85,1.945,125263
2021-04-22,1.85,1.95,1.85,1.91,254087
2021-04-23,1.91,2,1.9,2,179846
2021-04-26,2,2.1,2,2.07,381251
2021-04-27,2.1,2.15,2.01,2.1,194961
2021-04-28,2.12,2.2,2.08,2.18,253267
2021-04-29,2.2,2.2,2.02,2.14,298314
2021-04-30,2.07,2.139,2.05,2.07,131364
2021-05-03,2.06,2.26,2,2.25,387219
2021-05-04,2.1,2.21,2.09,2.14,353400
2021-05-05,2.19,2.4566,2.16,2.42,564677
2021-05-06,2.4,2.4,2.23,2.25,409484
2021-05-07,2.25,2.4,2.21,2.37,306376
2021-05-10,2.37,2.4,2.12,2.2,575250
2021-05-11,2.19,2.27,2.1501,2.245,148518
2021-05-12,2.23,2.31,2.18,2.28,375862
2021-05-13,2.28,2.3501,2.1,2.13,302088
2021-05-14,2.18,2.21,2.05,2.08,175065
2021-05-17,2.13,2.27,2.09,2.24,331045
2021-05-18,2.27,2.28,2.2,2.27,222522
